cnpj,uf,municipio,razao_social,nome_fantasia,porte,cnae_fiscal_descricao,data_inicio_atividade
5914650000166,RO,PORTO VELHO,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A,ENERGISA RO,DEMAIS,Distribuição de energia elétrica,1969-12-22
26320603000164,RO,PORTO VELHO,INFORMA NA HORA SERVICOS DE PUBLICIDADE E PROPAGANDA EIRELI,INFORMA NA HORA,MICRO EMPRESA,Atividades de rádio,2016-10-08
13659201000147,PR,CURITIBA,LINHA PURPURA FOTO E VIDEO LTDA,,MICRO EMPRESA,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",2011-05-17
17872428000127,RO,JI-PARANA,AMERICA  VIAGENS E TURISMO EIRELI,AMERICA VIAGENS E TURISMO,MICRO EMPRESA,Agências de viagens,2013-04-04
5423963000111,DF,BRASILIA,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,OI,DEMAIS,Telefonia móvel celular,2002-12-12
33453598021716,RO,PORTO VELHO,RAIZEN S.A.,,DEMAIS,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",1983-02-11
84707538000120,RO,JI-PARANA,YURI COMERCIO DE COMBUSTIVEIS LTDA,AERO POSTO YURI,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,1995-04-01
84721745000130,RO,ARIQUEMES,O F CALADO EDICOES,ALERTA COMUNICACAO,EMPRESA DE PEQUENO PORTE,Atividades de rádio,1995-04-01
36413835000110,RO,BURITIS,R.TEODORO DE OLIVEIRA CONSULTORIA EM PUBLICIDADE,TV BURITI NET-TBN,MICRO EMPRESA,Agências de publicidade,2020-02-18
8941827000101,RO,PORTO VELHO,RONDONIA DINAMICA COMERCIO E SERVICOS DE INFORMATICA LTDA,RONDONIA DINAMICA,MICRO EMPRESA,Comércio varejista especializado de equipamentos e suprimentos de informática,2007-06-28
22285323000101,RO,ESPIGAO D'OESTE,PORTAL ESPIGAO LTDA,PORTAL ESPIGAO,MICRO EMPRESA,"Portais, provedores de conteúdo e outros serviços de informação na internet",2015-04-18
8742048000187,RO,PORTO VELHO,CMP COMUNICACAO E ASSESSORIA LTDA,RONDONIAAOVIVO.COM,MICRO EMPRESA,Edição de jornais diários,2007-04-03
30637754000118,RO,PORTO VELHO,RUBENS COITINHO DOS SANTOS,TUDORO,MICRO EMPRESA,"Portais, provedores de conteúdo e outros serviços de informação na internet",2018-06-06
34274233020120,MT,VARZEA GRANDE,VIBRA ENERGIA S.A,,DEMAIS,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",2008-07-31
34274233011210,DF,BRASILIA,VIBRA ENERGIA S.A,,DEMAIS,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",1972-10-12
39825435001344,MT,CACERES,MARLIM AZUL COMERCIO E TRANSPORTE DE PETROLEO E DERIVADOS LTDA,MARLIM AZUL,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2006-09-13
84010040002581,RO,PORTO VELHO,PIONEIRO COMBUSTIVEIS LTDA,,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2006-09-20
10575238000107,RO,PORTO VELHO,VOZ DE RONDONIA PUBLICIDADES E PROPAGANDA LTDA,O OBSERVADOR DE RONDONIA,MICRO EMPRESA,Agências de publicidade,2009-01-15
41845127000199,RO,JI-PARANA,J .J. M. CALADO EIRELI,J J CALADO PUBLICIDADE,MICRO EMPRESA,Agências de publicidade,2021-05-06
22172356000145,RO,JI-PARANA,SANTOS & FERNANDES SERVICOS LTDA,,MICRO EMPRESA,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",2015-04-01
29733167000143,RO,JI-PARANA,J C GODOI RICCI COMUNICACAO VISUAL,J C COMUNICACOES VISUAL,EMPRESA DE PEQUENO PORTE,Instalação de painéis publicitários,2018-02-21
28839939000163,SE,ARACAJU,CASA DESIGN SERVICOS DE APOIO ADMINISTRATIVO LTDA,SHOPPING CASA DESIGN,MICRO EMPRESA,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,2017-10-11
6028059000174,SE,ARACAJU,CASA SHOPPING DESIGN LTDA,CASA SHOPPING DESIGN,EMPRESA DE PEQUENO PORTE,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",2003-12-05
40432544010703,SE,ARACAJU,CLARO S.A.,CLARO,DEMAIS,Telefonia móvel celular,2005-08-01
13017462000163,SE,ARACAJU,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,ENERGISA SE,DEMAIS,Distribuição de energia elétrica,1966-09-30
11088468000104,SE,ARACAJU,KAFLEX COMERCIAL LTDA,,DEMAIS,Comércio varejista de móveis,2009-08-20
26472085000102,SE,ARACAJU,MAXCOLOR COPIADORA & GRAFICA RAPIDA EIRELI,MAXCOLOR,MICRO EMPRESA,Fotocópias,2016-10-18
26433933000166,SE,ARACAJU,BEN COMUNICACAO EIRELI,BEN COMUNICACAO,MICRO EMPRESA,Agências de publicidade,2016-10-27
25012398000107,SP,SAO PAULO,GOOGLE CLOUD BRASIL COMPUTACAO E SERVICOS DE DADOS LTDA.,,DEMAIS,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",2016-06-16
26440622000124,SE,ARACAJU,JOSE EDMILSON DA SILVA JUNIOR SOCIEDADE INDIVIDUAL DE ADVOCACIA,,DEMAIS,Serviços advocatícios,2016-10-03
21591976000156,SE,ARACAJU,FRANCO E OLIVEIRA SERVICOS LTDA,2EME LOCADORA,MICRO EMPRESA,Locação de automóveis sem condutor,2014-12-18
32725905000115,SE,ARACAJU,POSTO RIO POXIM LTDA,POSTO RIO POXIM,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1989-07-17
39827859000104,SE,ARACAJU,SILVA MELO AGENCIA LTDA,MMTOUR AGENCIA DE VIAGENS,MICRO EMPRESA,Agências de viagens,2020-11-18
13128780000100,SE,ARACAJU,MUNICIPIO DE ARACAJU,ARACAJU PREF GABINETE DO PREFEITO,DEMAIS,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",1974-12-26
